cycle,e_sweep,e_obs,attr_std,trans_std,e_alt,attr_r1,r1_disagree,trans_r1,pop_xor,attr_r2,r2_disagree,trans_r2,e_lag,attr_r3,r3_disagree,trans_r3,e_r4,attr_r4,r4_disagree,trans_r4,rot_k,epoch_mask
3230,31,30,4,0,55,2,1,0,10,4,0,0,29,4,0,0,44,4,0,0,5,6772
3231,32,31,4,0,51,2,1,0,8,4,0,0,30,4,0,0,23,4,0,0,8,2515
3232,33,32,4,0,17,4,0,1,4,4,0,0,31,4,0,0,34,4,0,0,8,2515
3233,34,33,4,0,21,4,0,0,5,4,0,0,32,4,0,0,10,4,0,0,8,2515
3234,35,34,4,0,27,4,0,0,6,4,0,0,33,4,0,0,26,4,0,0,8,2515
3235,36,35,4,0,28,4,0,0,5,4,0,0,34,4,0,0,62,2,1,1,8,2515
3236,37,36,4,0,0,1,1,1,4,4,0,0,35,4,0,0,54,2,1,0,8,2515
3237,38,38,4,0,11,4,0,1,5,4,0,0,36,4,0,0,38,4,0,1,8,2515
3238,39,38,4,0,8,4,0,0,6,4,0,0,38,4,0,0,6,4,0,0,8,2515
3239,40,39,4,0,13,4,0,0,5,4,0,0,38,4,0,0,2,4,0,0,8,2515
3240,41,40,4,0,52,2,1,1,8,4,0,0,39,4,0,0,14,4,0,0,8,2515
3241,42,41,4,0,48,4,0,1,7,4,0,0,40,4,0,0,22,4,0,0,8,2515
3242,43,42,4,0,60,2,1,1,7,4,0,0,41,4,0,0,34,4,0,0,8,2515
3243,44,43,4,0,56,2,1,0,5,4,0,0,42,4,0,0,14,4,0,0,8,2515
3244,45,44,4,0,36,4,0,1,6,4,0,0,43,4,0,0,18,4,0,0,8,2515
3245,46,45,4,0,35,4,0,0,6,4,0,0,44,4,0,0,42,4,0,0,8,2515
3246,47,46,4,0,46,4,0,0,7,4,0,0,45,4,0,0,30,4,0,0,8,2515
3247,48,47,4,0,40,4,0,0,6,4,0,0,46,4,0,0,22,4,0,0,11,1870
3248,49,48,4,0,26,4,0,0,5,4,0,0,47,4,0,0,17,4,0,0,11,1870
3249,50,49,4,0,31,4,0,0,8,4,0,0,48,4,0,0,49,4,0,0,11,1870
3250,51,50,2,1,19,4,1,0,7,4,1,0,49,4,1,0,17,4,1,0,11,1870
3251,52,51,2,0,21,4,1,0,9,4,1,0,50,2,0,1,17,4,1,0,11,1870
3252,53,52,2,0,11,4,1,0,6,4,1,0,51,2,0,0,48,4,1,0,11,1870
3253,54,53,2,0,15,4,1,0,4,4,1,0,52,2,0,0,16,4,1,0,11,1870
3254,55,54,2,0,1,4,1,0,6,4,1,0,53,2,0,0,16,4,1,0,11,1870
3255,56,55,2,0,6,4,1,0,3,4,1,0,54,2,0,0,48,4,1,0,11,1870
3256,57,56,2,0,61,2,0,1,5,4,1,0,55,2,0,0,19,4,1,0,11,1870
3257,58,57,2,0,58,2,0,0,6,4,1,0,56,2,0,0,51,2,0,1,11,1870
3258,59,58,2,0,52,2,0,0,6,4,1,0,57,2,0,0,51,2,0,0,11,1870
3259,60,59,2,0,48,4,1,1,6,4,1,0,58,2,0,0,51,2,0,0,11,1870
3260,61,60,2,0,45,4,1,0,7,4,1,0,59,2,0,0,18,4,1,1,11,1870
