cycle,regime,local_cycle,active_mode,mask_val,computed,computed_mod,e_field_base,e_field_mod,attractor_base,attractor_mod,attractor_changed,delta_computed,delta_mod,transition_base,mode_lfsr_state
5159,4,659,0,0,729,729,11,11,4,4,0,1691,1691,0,27091
5160,4,660,1,63,1442,1437,22,22,4,4,0,713,695,0,21415
5161,4,661,2,4032,2868,1268,44,19,4,4,0,1426,1390,0,10062
5162,4,662,3,4095,1624,2471,25,38,4,4,0,1244,1244,0,20125
5163,4,663,0,0,3233,3233,50,50,2,2,0,1609,1609,1,7482
5164,4,664,1,63,2354,2317,36,36,4,4,0,879,913,1,14964
5165,4,665,2,4032,597,3477,9,54,4,2,1,1757,1699,0,29929
5166,4,666,3,4095,1179,2916,18,45,4,4,0,582,582,0,27091
5167,4,667,0,0,2342,2342,36,36,4,4,0,1163,1163,0,21415
5168,4,668,1,63,573,514,8,8,4,4,0,1769,1815,0,10062
5169,4,669,2,4032,1130,2986,17,46,4,4,0,557,595,0,20125
5170,4,670,3,4095,2242,1853,35,28,4,4,0,1112,1112,0,7482
5171,4,671,0,0,376,376,5,5,4,4,0,1866,1866,0,14964
5172,4,672,1,63,736,735,11,11,4,4,0,360,408,0,29929
5173,4,673,2,4032,1457,2673,22,41,4,4,0,721,687,0,27091
5174,4,674,3,4095,2899,1196,45,18,4,4,0,1442,1442,0,21415
5175,4,675,0,0,1687,1687,26,26,4,4,0,1212,1212,0,10062
5176,4,676,1,63,3358,3361,52,52,2,2,0,1671,1657,1,20125
5177,4,677,2,4032,2604,1516,40,23,4,4,0,754,782,1,7482
5178,4,678,3,4095,1092,3003,17,46,4,4,0,1512,1512,0,14964
5179,4,679,0,0,2177,2177,34,34,4,4,0,1085,1085,0,29929
5180,4,680,1,63,245,202,3,3,4,4,0,1932,2036,0,27091
5181,4,681,2,4032,474,3610,7,56,4,2,1,229,283,0,21415
5182,4,682,3,4095,932,3163,14,49,4,4,0,458,458,0,10062
5183,4,683,0,0,1848,1848,28,28,4,4,0,916,916,0,20125
5184,4,684,1,63,3680,3679,57,57,2,2,0,1832,1880,1,7482
